luke,(77.3, -0.9, -27.9),(270.0, 0.0, 0.0),(1.0, 1.0, 1.0)
Wood_piece (2),(-92.7, 5.1, 115.1),(54.5, 87.8, 270.0),(0.2, 0.8, 1.1)
box (11),(-72.7, -0.9, 82.1),(270.0, 0.0, 0.0),(1.1, 0.8, 1.2)
mushroom1 (4),(51.3, 0.1, -86.9),(270.0, 0.0, 0.0),(2.1, 3.2, 1.1)
border_tile (34),(94.3, -0.9, 34.1),(270.0, 0.0, 0.0),(1.2, 0.9, 1.0)
mushroom1 (9),(119.3, 0.1, 79.1),(270.0, 0.0, 0.0),(2.1, 3.2, 1.1)
border_tile (147),(-127.7, -0.9, 82.1),(270.0, 360.0, 0.0),(0.9, 0.8, 0.9)
road,(86.3, -0.9, -1.9),(270.0, 0.0, 0.0),(1.8, 0.4, 1.0)
tower (4),(152.3, 14.1, 184.3),(270.0, 0.0, 0.0),(1.0, 1.0, 1.0)
border_tile (59),(-34.7, 0.1, -66.9),(270.0, 0.0, 0.0),(1.1, 0.8, 0.9)
box (13),(-98.7, -0.9, 120.1),(270.0, 0.0, 0.0),(1.0, 0.8, 1.1)
mushroom1 (25),(88.3, 0.1, 124.1),(270.0, 0.0, 0.0),(2.1, 3.2, 1.1)
border_tile (50),(123.3, -0.9, 112.1),(270.0, 0.0, 0.0),(0.9, 0.8, 1.0)
mushroom1 (11),(131.3, 0.1, 101.1),(270.0, 0.0, 0.0),(2.1, 3.2, 1.1)
shop_1,(130.3, 5.1, -99.9),(270.0, 0.0, 0.0),(1.0, 1.0, 1.0)
border_tile (20),(108.3, -0.9, -34.9),(270.0, 0.0, 0.0),(1.0, 0.9, 1.0)
border_tile (145),(-127.7, -0.9, 50.1),(270.0, 360.0, 0.0),(0.9, 0.8, 0.9)
sideborder (7),(86.3, -0.9, 28.1),(90.0, 180.0, 0.0),(-1.8, -1.0, -1.2)
border_tile (28),(111.1, -0.9, 45.9),(270.0, 0.0, 0.0),(1.0, 0.9, 1.0)
border_tile (129),(-58.7, -0.9, 86.1),(270.0, 270.0, 0.0),(0.8, 0.6, 0.9)
grass1 (20),(42.3, 0.1, -34.9),(0.0, 0.0, 0.0),(0.6, 0.8, 1.0)
road (3),(170.2, -0.9, 108.1),(270.0, 90.0, 0.0),(2.7, 0.4, 1.0)
border_tile (60),(-34.7, 0.1, -61.9),(270.0, 0.0, 0.0),(0.9, 0.7, 0.9)
border_tile (32),(99.3, -0.9, 36.1),(270.0, 0.0, 0.0),(1.0, 0.9, 1.0)
shop_1 (2),(60.4, 10.3, -158.6),(270.0, 180.0, 0.0),(2.0, 2.0, 2.0)
border_tile (9),(61.3, -0.9, -33.9),(270.0, 0.0, 0.0),(0.6, 0.5, 0.6)
road_path (8),(-164.5, -0.9, -25.1),(270.0, 90.0, 0.0),(0.2, 0.4, 1.0)
grass1 (10),(54.3, 0.1, -37.9),(0.0, 0.0, 0.0),(0.6, 0.8, 1.0)
border_tile (141),(-127.7, -0.9, 77.1),(270.0, 360.0, 0.0),(1.1, 0.8, 0.9)
border_tile (33),(95.3, -0.9, 38.1),(270.0, 0.0, 0.0),(0.9, 0.8, 1.0)
border_tile (148),(-127.7, -0.9, 87.1),(270.0, 360.0, 0.0),(1.1, 0.9, 0.9)
road_path (9),(-165.0, -0.9, 21.8),(270.0, 90.0, 0.0),(0.2, 0.4, 1.0)
border_tile (173),(-94.7, -0.9, 101.1),(270.0, 180.1, 0.0),(1.0, 0.8, 0.9)
border_tile (167),(-94.7, -0.9, 87.1),(270.0, 180.1, 0.0),(1.0, 0.7, 0.9)
fence (1),(78.3, 3.1, -31.9),(270.0, 270.0, 0.0),(1.0, 1.0, 1.0)
border_tile (52),(128.3, -0.9, 91.1),(270.0, 0.0, 0.0),(0.9, 0.8, 1.0)
border_tile (131),(-127.7, -0.9, 46.1),(270.0, 360.0, 0.0),(1.0, 0.8, 0.9)
road_empty,(2.5, -0.9, -1.2),(270.0, 0.0, 0.0),(0.5, 0.4, 4.0)
border_tile (160),(-111.7, -0.9, 106.1),(270.0, 270.0, 0.0),(0.9, 0.8, 0.9)
grass1 (5),(77.3, 0.1, -35.9),(0.0, 0.0, 0.0),(0.6, 0.8, 1.0)
box (5),(-30.7, 0.1, -34.9),(270.0, 0.0, 0.0),(1.0, 0.8, 1.1)
border_tile (108),(-104.7, 0.1, -79.9),(270.0, 0.0, 0.0),(1.0, 0.7, 0.9)
grass1 (2),(89.3, 0.1, -39.9),(0.0, 0.0, 0.0),(0.6, 0.8, 1.0)
border_tile (40),(62.3, -0.9, 34.1),(270.0, 0.0, 0.0),(1.2, 0.8, 0.8)
mushroom2 (2),(-33.7, 1.1, 89.1),(270.0, 0.0, 0.0),(2.5, 3.7, 1.3)
border_tile (153),(-127.7, -0.9, 96.1),(270.0, 360.0, 0.0),(0.9, 0.8, 0.9)
border_tile (107),(-128.7, 0.1, -79.9),(270.0, 0.0, 0.0),(0.8, 0.7, 0.9)
border_tile (55),(136.3, -0.9, 87.1),(270.0, 0.0, 0.0),(0.9, 0.8, 1.0)
gate_a (3),(170.3, 6.1, 185.3),(270.0, 0.0, 0.0),(1.0, 1.0, 1.0)
wall (2),(96.3, -1.9, 184.3),(270.0, 0.0, 0.0),(0.7, 1.8, 0.9)
fence (13),(35.3, 3.1, 45.1),(270.0, 180.0, 0.0),(1.0, 1.0, 1.0)
Baker_house (4),(106.7, -1.1, 60.2),(270.0, 0.0, 0.0),(3.0, 1.9, 3.0)
tower (10),(-15.7, 14.1, 184.3),(270.0, 0.0, 0.0),(1.0, 1.0, 1.0)
concrete_block,(12.3, -0.9, 30.1),(270.0, 91.2, 0.0),(0.8, 1.0, 1.0)
border_tile (165),(-94.7, -0.9, 97.1),(270.0, 180.1, 0.0),(0.9, 0.8, 0.9)
Baker_house,(-67.4, -0.2, -56.2),(270.0, 90.0, 0.0),(3.5, 5.0, 6.0)
border_tile (73),(-39.7, 0.1, -35.9),(270.0, 90.0, 0.0),(1.1, 0.8, 0.9)
road (4),(170.3, -0.9, -111.9),(270.0, 90.0, 0.0),(2.6, 0.4, 1.0)
mushroom1 (14),(-35.7, 0.1, 108.1),(270.0, 0.0, 0.0),(2.1, 3.2, 1.1)
border_tile (143),(-127.7, -0.9, 60.1),(270.0, 360.0, 0.0),(1.0, 0.7, 0.9)
border_tile (119),(-59.7, -0.9, 115.1),(270.0, 90.0, 0.0),(0.9, 0.7, 0.9)
gate_a (1),(3.3, 6.1, -188.5),(270.0, 180.0, 0.0),(1.0, 1.0, 1.0)
border_tile (86),(-102.7, 0.1, -35.9),(270.0, 90.0, 0.0),(1.0, 0.8, 0.9)
border_tile (111),(-39.7, -0.9, 111.1),(270.0, 0.0, 0.0),(0.9, 0.7, 0.8)
tower (3),(189.3, 14.1, 183.3),(270.0, 0.0, 0.0),(1.0, 1.0, 1.0)
border_tile (46),(123.3, -0.9, 94.1),(270.0, 0.0, 0.0),(0.9, 0.8, 1.0)
border_tile (136),(-113.7, -0.9, 44.1),(270.0, 270.0, 0.0),(1.0, 0.7, 0.9)
